CTV3ID	TERMCODE	OBSERVABLE_CONCEPTID	OBSERVABLE_DESCRIPTIONID	USE_ALTERNATE
Xa2ab	Ya4Zh			A
Xa3D7	Ya5V6	248241002	370595019	Y
Xa4SU	YaRQv			N
Xa4aS	YaRaZ	364265003	487406017	Y
Xa4dz	YaReb	364310004	487452012	Y
Xa7Y8	YaUuf	167807007	260710013	N
Xa7wI	YaVSP	27113001	45352010	Y
Xa973	Y7Fhi	1083781000000102	2715921000000119	Y
Xa974	Ya22r			N
Xa98E	Y7GuO			N
Xa9wW	YaYfu			N
XaA6v	YaYvd			A
XaAgH	YaZeQ			N
XaBFL	Y79YN			N
XaBXc	YaasB			N
XaBue	YabMa			N
XaBzA	YabRY	703421000	3008650016	Y
XaC0U	YabUV			N
XaCGI	Y7Fij	1083751000000108	2715861000000116	Y
XaDbJ	Y79Q4			N
XaDul	YadzX			N
XaDvO	Yae3l			N
XaEF7	YaeWa			A
XaEF9	YaeWc			A
XaEWS	Yaf1S	997071000000100	2581761000000112	N
XaFrY	Yah2F			N
XaFs8	Yah2u			N
XaFs9	Yah2x	1083761000000106	2715881000000113	Y
XaFsY	Yah3X	1089081000000103	2728761000000113	Y
XaFvx	Yah74	112931000000102	189661000000110	N
XaFvz	Yah76	412829001	2478459019	N
XaI9c	YajRV			N
XaIA6	Yaxgd			A
XaIAQ	YajTM	415974002	2534421019	Y
XaIIW	Yakgo			N
XaILB	Yakk5	763262001	3638316014	Y
XaIN9	YakoX	763073004	3637787013	Y
XaINA	YakoY	763075006	3637792010	Y
XaINB	YakmD	763074005	3637788015	Y
XaINi	Yakmk	1084011000000109	2716441000000110	Y
XaINj	Yakml	1084031000000101	2716481000000119	Y
XaINw	Yakn2			N
XaISE	Yaku9			N
XaITJ	YakvE	1083641000000102	2715531000000112	Y
XaITK	YakvF	1083551000000103	2715291000000111	Y
XaITP	YakvK	1083621000000109	2715461000000118	Y
XaITY	YakvT	1083511000000102	2715181000000115	Y
XaITZ	YakvU	1083701000000107	2715761000000113	Y
XaIaS	Yal3n	999311000000101	2555611000000111	N
XaIcb	Yal5w	1022581000000105	2566671000000117	N
XaIpz	Yax1H	1027711000000107	2595741000000112	N
XaIuJ	YaqHl	444680009	2872224018	Y
XaIuj	YalfE	1084181000000103	2716791000000110	Y
XaIuk	YalfF	1084161000000107	2716751000000119	Y
XaIul	YalfH	1087531000000101	2724361000000115	Y
XaIum	YalfJ	1087541000000105	2724381000000112	Y
XaIun	YalfL	1084151000000109	2716731000000114	Y
XaIuo	YalfN	1084141000000106	2716711000000118	Y
XaIup	YalfP	446841001	2882652014	Y
XaIuq	YalfR	1083561000000100	2715311000000112	Y
XaIur	YalfS	1083581000000109	2715351000000111	Y
XaIus	YalfT	1083631000000106	2715481000000110	Y
XaIut	YalfU	1083601000000100	2715391000000115	Y
XaIz9	Yalu1			N
XaJ9S	Yam77			N
XaJ9X	Yam7E	839841000000107	2179471000000114	N
XaJBd	Yam9Q			A
XaJKY	YamJk			N
XaJLG	YamKt	1085151000000108	2718871000000119	Y
XaJMP	YamMO	506251000000106	1125171000000116	Y
XaJMS	YamMT	981391000000108	2495831000000116	Y
XaJMT	YamMU	981401000000106	2495851000000111	Y
XaJMU	YamMV	981411000000108	2495871000000119	Y
XaJMV	YamMW	981421000000102	2495891000000115	Y
XaJMW	YamMX	981431000000100	2495911000000117	Y
XaJMX	YamMY	981441000000109	2495931000000113	Y
XaJMY	YamMZ	981451000000107	2495951000000118	Y
XaJYI	Yamd3			A
XaJYJ	Yamd4			A
XaJqK	Yamx4	443428004	2988788019	Y
XaJvW	Yan4T	1084021000000103	2716461000000111	Y
XaKH7	YaqSN	1089101000000109	2728801000000115	Y
XaKMc	Yancf	1005431000000106	2551231000000115	N
XaKja	Yanzx			A
XaLMY	YaoRg	425094009	2643300013	Y
XaLUh	YaobU	761955007	3634387017	Y
XaLWw	Yaodg			N
XaLux	Yap2j	1083761000000106	2715881000000113	Y
XaMFo	YapPw	761872001	3634103014	Y
XaMeu	Yapz3			A
XaMwZ	Yapyi	443280005	2837707014	Y
XaMwa	Yapyk	1084601000000102	2717721000000114	Y
XaMwb	Yapym	763256006	3638304015	Y
XaMyj	Yaq1v	1087301000000103	2723861000000110	Y
XaMzh	Yaq3N	763254009	3638300012	Y
