READCODE	TERMCODE	OBSERVABLE_CONCEPTID	OBSERVABLE_DESCRIPTIONID	USE_ALTERNATE
44A4.	11	1083821000000105	2716001000000117	Y
44AS.	00			N
44CZ0	00	1027761000000109	2595961000000110	N
44FZ.	00	1000621000000104	2560271000000118	N
44G..	00			N
44G..	11	1013211000000103	2552341000000113	N
44G..	12	1018251000000107	2579431000000117	N
44HA.	00	1000921000000108	2577301000000114	N
44HH.	00	1028261000000102	2600681000000111	N
44K3.	00	1028231000000107	2600581000000110	N
44Lc.	00	993391000000108	2572251000000117	N
44Li.	00	1084041000000105	2716501000000111	Y
44PH.	00	1017161000000104	2552911000000113	N
44PK.	00	1083761000000106	2715881000000113	Y
44PL1	00			N
44R3.	00	1005681000000107	2577901000000110	N
44R3.	11	1005681000000107	2577901000000110	N
44SX.	00	1083901000000109	2716181000000114	Y
44T1.	00	1028881000000105	2600091000000116	N
44T3.	00	1030551000000103	2599601000000116	N
44T3.	11	1083781000000102	2715921000000119	Y
44T5.	00			N
44T7.	00	1083851000000100	2716081000000110	Y
44T9.	00			N
44Z10	00	1029141000000102	2599281000000111	N
44l2.	00	1028551000000102	2602701000000112	N
44lz.	00	1032141000000108	2606551000000119	N
44lzY	00	1083861000000102	2716101000000116	Y
44s..	00	1017561000000109	2557941000000111	N
44vE.	00			N
451A.	00	1015981000000103	2580171000000111	N
463..	00	1083751000000108	2715861000000116	Y
463..	11	1083751000000108	2715861000000116	Y
4634.	00			N
46G5.	00	1083971000000101	2716331000000113	N
46G6.	00	1083881000000106	2716141000000118	N
46L4.	00	1021531000000100	2569981000000118	N
46M8.	00	1083771000000104	2715901000000111	Y
46Qy.	00	1083961000000108	2716311000000117	Y
46RA.	00	1010191000000106	2578461000000118	N
46V1.	00	1083951000000105	2716291000000118	Y
46V2.	00	404231008	2156127011	N
493..	00	1010321000000106	2586451000000114	N
493..	11	1010321000000106	2586451000000114	N
49A..	00	992321000000100	2568521000000118	N
4I91.	00			N
4I91.	11	1083791000000100	2715941000000114	N
4Q3L.	00	1083801000000101	2715961000000110	N
4QB4.	00			N
4QB45	00	1029801000000105	2596731000000114	N
4QC1.	00	1007831000000100	2551591000000117	N
5751.	00			N
5751.	11	993521000000101	2568671000000118	N
585L.	00	1083711000000109	2715781000000116	Y
585M.	00	1083721000000103	2715801000000115	Y
585S.	00	1084181000000103	2716791000000110	Y
585T.	00	1084161000000107	2716751000000119	Y
585V.	00	1087531000000101	2724361000000115	Y
585W.	00	1087541000000105	2724381000000112	Y
585X.	00	1084151000000109	2716731000000114	Y
585Y.	00	1084141000000106	2716711000000118	Y
585a.	00	446841001	2882652014	Y
585b.	00	1083561000000100	2715311000000112	Y
585c.	00	1083581000000109	2715351000000111	Y
585d.	00	1083631000000106	2715481000000110	Y
585e.	00	1083601000000100	2715391000000115	Y
585n.	00	707205007	3029141016	Y
585n0	00	1083681000000105	2715671000000110	Y
585n1	00	1083691000000107	2715701000000114	Y
585o.	00	1083541000000101	2715241000000118	Y
585p.	00	1087521000000103	2724341000000116	Y
585q.	00	1083531000000105	2715221000000113	Y
585r.	00	1083521000000108	2715201000000116	Y
5886.	00			N
58E1.	00	1083641000000102	2715531000000112	Y
58E2.	00	1083551000000103	2715291000000111	Y
58E7.	00	1083651000000104	2715581000000111	Y
58E8.	00	1083621000000109	2715461000000118	Y
58EJ.	00	1083511000000102	2715181000000115	Y
58EK.	00	1083701000000107	2715761000000113	Y
62C..	00	183797002	283994017	Y
62X..	00	57036006	497775016	Y
636..	00	364589006	487747015	Y
636..	11	364589006	487747015	Y
636..	12	364589006	487747015	Y
662a.	00	994351000000103	2581451000000115	N
663N.	00			N
663P.	00			N
663a.	00			N
663k.	00			N
663m.	00			N
663q.	00			N
663z.	00	1084011000000109	2716441000000110	Y
6694.	00	1032161000000109	2606591000000110	N
66CY.	00	1083591000000106	2715371000000119	Y
66Ca.	00	1083571000000107	2715331000000116	Y
66Y0.	00	1084031000000101	2716481000000119	Y
66YC.	00			N
66Yc.	00	1084021000000103	2716461000000111	Y
745C0	00	18491006	31196014	Y
745C4	00	251915002	375253014	Y
8776.	00			N
8A44.	00	431314004	2772010012	Y
8A44.	11	431314004	2772010012	Y
8AE..	00			N
8AE0.	00			N
9NFA.	00			N
9P11.	00			N
9P12.	00			N
9P3..	00			N
9P4..	00			N
9P5..	00			N
9P7..	00			N
9P8..	00			N
9P9..	00			N
9PA..	00			N
9PB..	00			N
9PC..	00			N
9PD..	00			N
9PE..	00			N
9Q9..	00			N
9QA..	00			N
9QB..	00			N
9QC..	00			N
9QD..	00			N
9QE..	00			N
9QF..	00			N
9QG..	00			N
9QH..	00			N
9QJ..	00			N
9QK..	00			N
9QL..	00			N
9QM..	00			N
G716.	00			N
G7160	00			N
J043.	00			N
J043.	11			N
J043.	12			N
J043.	13			N
J043.	14			N
J043.	15			N
J0433	00			N
J0434	00			N
